Bill Number,Chapter No. (nnnn),XFile Bill Number,Sponsor,Synopsis,Title,Current Status,First Reading Date - House of Origin,Committee Primary - House of Origin,Hearing Date Primary - House of Origin,Hearing Time Primary - House of Origin,Committee Secondary - House of Origin,Hearing Date Secondary - House of Origin,Hearing Time Secondary - House of Origin,Report Date - House of Origin,Report Action - House of Origin,Second Reading Date - House of Origin,Second Reading Action - House of Origin,Third Reading Date - House of Origin,Third Reading Action - House of Origin,First Reading Date - Opposite House,Committee Primary - Opposite House,Hearing Date Primary - Opposite House,Hearing Time Primary - Opposite House,Committee Secondary - Opposite House,Hearing Date Secondary - Opposite House,Hearing Time Secondary - Opposite House,Report Date - Opposite House,Report Action - Opposite House,Second Reading Date - Opposite House,Second Reading Action - Opposite House,Third Reading Date - Opposite House,Third Reading Action - Opposite House,Interaction Between Chambers,Passed by MGA,Emergency Bill,Constitutional Amendment,Broad Subject Name,Broad Subject Code,year_session, status current as of
"HB0794","","SB0794","Delegate Washington, M.","Establishing the Maryland Unaccompanied Homeless Youth and Young Adult Count Demonstration Project; requiring the Department of Housing and Community Development to select and monitor a coordinating entity to oversee the Project; requiring the coordinating entity to be selected through a competitive request for proposal or by sole source contract; requiring the coordinating entity to determine the number and characteristics of specified unaccompanied homeless youth and young adults; making the Act subject to a contingency; etc.","Maryland Unaccompanied Homeless Youth and Young Adult Count Demonstration Project","Passed Enrolled","2/3/2014","Appropriations ","3/4/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Favorable with Amendments","3/11/2014","Passed with Amendments","3/12/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable with Amendments","3/23/2014","Passed with Amendments","3/24/2014","Passed with Amendments","Concurred","Yes","","","Social Services - Generally","o1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0795","","","Delegate Waldstreicher","Establishing the Task Force on the Fiscal Impact Associated With Animal Cruelty Cases; providing for the composition, chair, and staffing of the Task Force; prohibiting a member of the Task Force from receiving specified compensation, but authorizing the reimbursement of specified expenses; requiring the Task Force to collect and review specified data and specified laws and make recommendations regarding specified matters; etc.","Task Force on the Fiscal Impact Associated With Animal Cruelty Cases","Unfavorable Report by Judiciary","2/3/2014","Judiciary ","2/20/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0796","","SB0669","Delegate Turner, V.","Providing that a person may be debarred from entering into a contract with the State if the person, or a specified other person connected to the person, has been convicted of a violation of specified provisions of federal law or State law or, under specified circumstances, has been found to have willfully or knowingly violated specified provisions of State law.","Procurement - Debarment - Violations of Law","Returned Passed","2/3/2014","Health and Government Operations ","2/19/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","State Government - Procurement","p2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0797","","SB0690","Delegate Tarrant","Altering the applicability of provisions of law relating to searches of a specified death master file in connection with life insurance policies and annuity contracts issued, delivered, or renewed in the State by specified insurers to exclude a policy of life insurance issued or delivered before a specified date by a specified insurer; requiring specified insurers to establish procedures for periodically contacting specified individuals for a specified purpose; etc.","Life Insurance and Annuities - Duty to Search Death Master File and Locate Beneficiaries","Unfavorable Report by Health and Government Operations","2/3/2014","Health and Government Operations ","2/27/2014"," 1:00 p.m.","","","","3/11/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Insurance - Other than Health","c4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0798","","SB0701","Delegate Kelly, A.","Requiring a local school system to provide to the parents or guardians of a child with a disability verbal and written information about access to habilitative services at specified times.","Education - Children With Disabilities - Habilitative Services Information","Returned Passed","2/3/2014","Ways and Means ","2/28/2014"," 1:00 p.m.","","","","3/6/2014 12:00:00 AM","Favorable with Amendments","3/6/2014","Passed with Amendments","3/7/2014","Passed","3/7/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Primary and Secondary Education","f1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0799","","SB0703","Delegate Tarrant","Requiring the Governor annually to proclaim February as Children's Dental Health Month.","General Provisions - Commemorative Months - Children's Dental Health Month","Hearing 2/19 at 1:00 p.m.","2/3/2014","Health and Government Operations ","2/19/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","State Government - Agencies, Offices, and Officials","p1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0800","","","Delegate Kelly, K.","Repealing the requirement that an applicant for the renewal of a permit to wear, carry, or transport a handgun complete a specified firearms training course.","Public Safety - Handgun Permits - Training Requirement for Renewal Applications","Hearing 3/04 at 1:00 p.m.","2/3/2014","Judiciary ","3/4/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Public Safety","e4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0801","","SB0368","Delegate Lee","Altering the membership of the Commission on Maryland Cybersecurity Innovation and Excellence; requiring that, to the extent practicable, specified members of the Commission reasonably reflect the geographic, racial, ethnic, cultural, and gender diversity of the State; requiring the Commission to work, with specified others, to develop strategies to enable organizations that adopt telemedicine to practice safe security techniques to minimize successful cyber attacks; altering the termination date of the Commission; etc.","Commission on Maryland Cybersecurity Innovation and Excellence - Membership, Duties, and Termination Date","Hearing 4/02 at 1:00 p.m.","2/3/2014","Economic Matters ","2/26/2014"," 1:00 p.m.","","","","3/12/2014 12:00:00 AM","Favorable with Amendments","3/9/2014","Passed with Amendments","3/10/2014","Passed","3/11/2014","Finance ","4/2/2014"," 1:00 p.m.","","","","","","","","","","","No","","","State Government - Agencies, Offices, and Officials","p1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0802","","SB0198","Delegate Lee","Requiring, to the extent authorized by federal law or regulation, specified provisions of law relating to coverage of and reimbursement for health care services delivered through telemedicine to apply to the Maryland Medical Assistance Program and managed care organizations in a specified manner; authorizing the Department of Health and Mental Hygiene to allow coverage of and reimbursement for health care services delivered in a specified manner and subject to the limitations of the State budget; etc.","Maryland Medical Assistance Program - Telemedicine","Returned Passed","2/3/2014","Health and Government Operations ","2/18/2014"," 1:00 p.m.","","","","3/4/2014 12:00:00 AM","Favorable with Amendments","3/5/2014","Passed with Amendments","3/7/2014","Passed","3/8/2014","Finance ","3/26/2014"," 1:00 p.m.","","","","4/2/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","Public Health","j1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0803","","SB1005","Delegate Lee","Increasing specified costs imposed by a circuit court and the District Court for specified crimes and offenses; increasing the amount of money from specified fees collected by a circuit court and the District Court that the Comptroller must deposit into the State Victims of Crime Fund; and excluding specified fees collected under the Act from a specified calculation relating to the amount of money that the Comptroller must deposit into the Criminal Injuries Compensation Fund and the State Victims of Crime Fund.","Courts and Judicial Proceedings - Crime Victims and Witnesses Funds - Court Costs","Unfavorable Report by Judiciary; Withdrawn","2/3/2014","Judiciary ","2/25/2014"," 1:00 p.m.","","","","4/7/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Courts and Court Personnel - Statewide","d1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0804","","SB0197","Delegate Lee","Requiring that the statewide information technology master plan developed by the Secretary of Information Technology include a cybersecurity framework; and requiring that the Secretary consider materials developed by the National Institute of Standards and Technology in developing or modifying the cybersecurity framework.","Statewide Information Technology Master Plan - Inclusion of Cybersecurity Framework - Requirement","Unfavorable Report by Economic Matters","2/3/2014","Economic Matters ","2/26/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Government - Procurement","p2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0805","","SB0763","Delegate Haddaway-Riccio","Transferring specified employees of Talbot county who served as employees of the child support division of the Talbot County State's Attorney's Office as of September 30, 2013, to the Department of Human Resources on a specified date; requiring that specified position identification numbers be created in a specified manner; requiring that each transferred employee be given specified credit for specified purposes and retain specified annual and sick leave credit and service credit in the Employees' Pension System; etc.","Talbot County - Child Support Enforcement - Transfer of Personnel","Returned Passed","2/3/2014","Appropriations ","2/25/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Favorable with Amendments","3/8/2014","Passed with Amendments","3/9/2014","Passed","3/10/2014","Finance ","3/26/2014"," 1:00 p.m.","","","","4/2/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","State Pensions and Retirement","k4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0806","","","Delegate Lee","Requiring specified regulations for protected health information obtained or released through a specified health information exchange to govern the access, use, maintenance, disclosure, and redisclosure of protected health information as required by specified State or federal law.","Health Information Exchanges - Protected Health Information - Regulations","Returned Passed","2/3/2014","Health and Government Operations ","2/27/2014"," 1:00 p.m.","","","","3/11/2014 12:00:00 AM","Favorable","3/9/2014","Passed","3/10/2014","Passed","3/11/2014","Finance ","3/26/2014"," 1:00 p.m.","","","","4/3/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","Health Care Facilities and Regulation","j3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0807","","SB0742","Delegate Lee","Increasing the maximum penalty of imprisonment for breaking and entering the dwelling of another with the intent to commit a crime of violence; establishing penalties of up to 25 years imprisonment for specified criminal violations of the Act; etc.","Criminal Law - Burglary in the First Degree - Home Invasion","Returned Passed","2/3/2014","Judiciary ","2/27/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Favorable with Amendments","3/10/2014","Passed with Amendments","3/11/2014","Passed","3/13/2014","Judicial Proceedings ","","","","","","4/3/2014","Favorable","3/26/2014","Passed","3/28/2014","Passed","Returned Passed","Yes","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0808","","SB0249","Delegate Lee","Requiring the Commission on Maryland Cybersecurity Innovation and Excellence to study and develop specified strategies and recommendations for advancing telemedicine technologies and use.","Commission on Maryland Cybersecurity Innovation and Excellence - Duties","Unfavorable Report by Economic Matters","2/3/2014","Economic Matters ","2/26/2014"," 1:00 p.m.","","","","3/12/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Government - Agencies, Offices, and Officials","p1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0809","","","Delegate Waldstreicher","Establishing that the limits on liability of a local government under the Local Government Tort Claims Act do not apply to a tort action for damages sustained by an individual on an artificial or synthetic turf playing field owned or operated by a local government; providing that the State, its officers, and its units may not raise sovereign immunity as a defense in a tort action for damages sustained by an individual on a State-owned or State-operated artificial or synthetic turf playing field; etc.","Local Government Tort Claims Act and Maryland Tort Claims Act - Damages Sustained on Artificial or Synthetic Turf Playing Fields","Unfavorable Report by Judiciary","2/3/2014","Judiciary ","3/5/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Civil Actions and Procedures","d3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0810","","","Delegate Lee","Altering the definition of 'undue influence' for purposes of a specified prohibition relating to obtaining property from a vulnerable adult or individual at least 68 years old by specifying that the term includes a specified breach of a fiduciary duty; authorizing a court to order the revocation of a professional license under specified circumstances; and providing that the State may institute a prosecution for a specified misdemeanor at any time.","Crimes - Exploitation of Vulnerable Adults - Breach of Fiduciary Duty","Unfavorable Report by Judiciary","2/3/2014","Judiciary ","2/25/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0811","","SB0876","Delegate Olszewski","Establishing the Summer Career Academy Pilot Program and identifying the purpose of the Program; requiring the State Department of Education to develop criteria for the selection of eligible school systems and eligible students for participation in the Program; authorizing the State Superintendent of Schools to select up to four school systems to participate in the Program; requiring a student selected to participate in the Program to be assigned a summer career counselor and to receive a stipend up to $4,500; etc.","Education - Summer Career Academy Pilot Program","Returned Passed","2/3/2014","Ways and Means ","2/28/2014"," 1:00 p.m.","","","","4/7/2014 12:00:00 AM","Favorable with Amendments","3/31/2014","Passed with Amendments","4/1/2014","Passed","3/29/2014","Education, Health, and Environmental Affairs ","","","","","","4/7/2014","Favorable","3/31/2014","Passed","4/1/2014","Passed","Returned Passed","Yes","","","Primary and Secondary Education","f1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0812","","","Delegate Lee","Altering a requirement that each county board of education develop and implement an automated external defibrillator program that meets specified requirements for high schools to include middle schools in the county.","Education - Middle Schools - Automated External Defibrillators","Returned Passed","2/3/2014","Ways and Means ","2/28/2014"," 1:00 p.m.","","","","3/12/2014 12:00:00 AM","Favorable","3/10/2014","Passed","3/11/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","3/27/2014"," 1:00 p.m.","","","","4/2/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","Primary and Secondary Education","f1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0813","","SB0795","Delegate Washington, M.","Creating a Joint Committee on Ending Homelessness; providing for the appointment of the members and cochairs of the Committee; specifying the duties of the Committee; requiring the Committee to hold specified meetings; authorizing the Committee to hold specified hearings and consider specified votes on specified bills or resolutions; requiring specified reports to be submitted to the General Assembly on or before December 1 of each year; and providing for a delayed effective date.","Joint Committee on Ending Homelessness","Passed Enrolled","2/3/2014","Health and Government Operations ","3/10/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Finance ","3/27/2014"," 1:00 p.m.","","","","3/31/2014","Favorable with Amendments","3/22/2014","Passed with Amendments","3/23/2014","Passed with Amendments","Concurred","Yes","","","Social Services - Generally","o1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0814","","SB0534","Delegate Beitzel","Establishing eligibility for a county board of education to receive a specified State grant; requiring a specified grant to be provided to eligible county boards in specified fiscal years; declaring the intent of the General Assembly; etc.","Education - State Grant to Counties With Small and Declining Student Enrollment","Returned Passed","2/3/2014","Ways and Means ","3/5/2014"," 1:00 p.m.","Appropriations ","","","4/4/2014 12:00:00 AM","Favorable","3/28/2014","Passed","3/29/2014","Passed","3/28/2014","Budget and Taxation ","","","","","","4/7/2014","Favorable","3/30/2014","Passed","3/31/2014","Passed","Returned Passed","Yes","","","Primary and Secondary Education","f1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0815","","SB0712","Delegate Haynes","Altering a definition for the purpose of removing authorization that services provided by a State facility may be procured through a service contract; requiring that service contracts for State services be subject to an audit; requiring that audit findings be reported to the General Assembly and made available to the public; requiring that units of State government submit information to exclusive representatives and the public; and providing for the conduct of audits.","State Personnel - Service Contracts - Procurement, Audit, and Reporting Requirements","Unfavorable Report by Health and Government Operations","2/3/2014","Health and Government Operations ","2/19/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Government - Personnel","p4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0816","","SB0261","Delegate Hubbard","Repealing the prohibition on the neglect or refusal, by a specified adult child, to provide a destitute parent with food, shelter, care, and clothing; altering the definition of 'responsible relative', as it relates to responsibility for the cost of specified services provided in a facility or program operated or funded by the Department of Health and Mental Hygiene, to exclude from the definition the children of a recipient of specified services; etc.","Requirements for Filial Support - Repeal","Unfavorable Report by Health and Government Operations; Withdrawn","2/3/2014","Health and Government Operations ","3/11/2014"," 1:00 p.m.","","","","3/24/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Public Health","j1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0817","","","Delegate Bromwell","Altering the number of video lottery operation licenses and video lottery terminals that may be awarded by the Video Lottery Facility Location Commission to provide for the award of a license at Baltimore-Washington International Thurgood Marshall Airport under specified conditions; authorizing up to 2,500 video lottery terminals at the airport; submitting the Act to a referendum of the qualified voters of the State; etc.","Gaming - Video Lottery Operation License - Baltimore-Washington International Thurgood Marshall Airport","Unfavorable Report by Ways and Means","2/5/2014","Ways and Means ","2/21/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Gaming","c7","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0818","","","Delegate Smigiel","Authorizing a specified licensed firearms dealer or secondary seller to conditionally sell, rent, or transfer a firearm to a firearm applicant under specified circumstances; prohibiting a licensee or secondary seller from selling, renting, or transferring a firearm under specified circumstances; and requiring a licensee or secondary seller to notify a firearms applicant that an application has been approved or disapproved under specified circumstances.","Regulated Firearms - Licensed Dealer or Secondary Seller - National Instant Criminal Background (NICS) Check","Hearing 3/04 at 1:00 p.m.","2/5/2014","Judiciary ","3/4/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Public Safety","e4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0819","","SB0524","Delegate Valentino-Smith","Authorizing the creation of a State Debt not to exceed $60,000, the proceeds to be used as a grant to the Board of Trustees of the Knights of St. John Ascension Commandery 283, Inc. for specified development or improvement purposes related to the Knights of St. John Hall, located in Prince George's County; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; establishing a deadline for the encumbrance or expenditure of the loan proceeds; etc.","Creation of a State Debt - Prince George's County - Knights of St. John Hall","Unfavorable Report by Appropriations","2/5/2014","Appropriations ","3/8/2014","12:00 p.m.","","","","4/7/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0820","","SB0499","Delegate Robinson, B.","Authorizing the creation of a State Debt not to exceed $140,000, the proceeds to be used as a grant to the Board of Trustees of the Coppin Heights Community Development Corporation for specified development or improvement purposes related to the Coppin Heights Urban Revitalization Project, located in Baltimore City; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; establishing a deadline for the encumbrance or expenditure of the loan proceeds; etc.","Creation of a State Debt - Baltimore City - Coppin Heights Urban Revitalization Project - Phase I","Unfavorable Report by Appropriations","2/5/2014","Appropriations ","3/8/2014","10:00 a.m.","","","","4/7/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0821","","SB0998","Chair, Appropriations Committee","Approving specified projects for the acquisition, development, and improvement of specified academic facilities for the University System of Maryland; authorizing the University System of Maryland to issue bonds in a total principal amount of $17,000,000 to finance and refinance the costs of those specified facilities specified renewal projects; etc.","Academic Facilities Bonding Authority","First Reading Budget and Taxation","2/5/2014","Appropriations ","3/4/2014"," 1:00 p.m.","","","","3/11/2014 12:00:00 AM","Favorable","3/9/2014","Passed","3/10/2014","Passed","3/11/2014","Budget and Taxation ","","","","","","","","","","","","","No","","","Capital Budget","b5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0822","","","Chair, Appropriations Committee","Authorizing an employee or a former employee of the City of Hyattsville and a surviving spouse or dependent child of the employee or former employee to enroll and participate in the State Employee and Retiree Health and Welfare Benefits Program under specified circumstances; authorizing the State to charge the City of Hyattsville and specified entities specified costs resulting from specified individuals participating in the Program; etc.","State Employee and Retiree Health and Welfare Benefits Program - Participation in Program - City of Hyattsville and Satellite Organizations","Returned Passed","2/5/2014","Appropriations ","3/4/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Favorable","3/8/2014","Passed","3/9/2014","Passed","3/10/2014","Finance ","4/2/2014"," 1:00 p.m.","","","","4/4/2014","Favorable","3/26/2014","Passed","3/28/2014","Passed","Returned Passed","Yes","","","State Government - Personnel","p4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0823","","SB0893","Chair, Health and Government Operations Committee","Consolidating the insurance laws of the State that apply to health maintenance organizations; clarifying the application of the insurance laws of the State to health maintenance organizations; declaring the intent of the General Assembly; etc.","Health Insurance - Insurance Laws That Apply to Health Maintenance Organizations - Consolidation and Clarification","Returned Passed","2/5/2014","Health and Government Operations ","3/7/2014","12:30 p.m.","","","","3/14/2014 12:00:00 AM","Favorable","3/11/2014","Passed","3/12/2014","Passed","3/13/2014","Finance ","4/2/2014"," 1:00 p.m.","","","","4/4/2014","Favorable","3/26/2014","Passed","3/28/2014","Passed","Returned Passed","Yes","","","Insurance - Health","c3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0824","","SB0510","Delegate Holmes","Authorizing the creation of a State Debt not to exceed $130,000, the proceeds to be used as a grant to the Mayor and City Council of the City of Bowie for specified development or improvement purposes related to the Bowie Gymnasium, located in Prince George's County; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; establishing a deadline for the encumbrance or expenditure of the loan proceeds; etc.","Creation of a State Debt - Prince George's County - Bowie Gymnasium Roof Replacement","Unfavorable Report by Appropriations","2/5/2014","Appropriations ","3/8/2014","12:00 p.m.","","","","4/7/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0825","","SB0639","Anne Arundel County Delegation","Providing that the annual salary of the State's Attorney for Anne Arundel County shall be specified amounts for specified calendar years; repealing a provision of law that requires a specified salary increase; providing that the State's Attorney may set specified salaries and compensation subject to the approval of the county council; and providing that the Act does not apply to the salary or compensation of the incumbent State's attorney etc.","Anne Arundel County - State's Attorney and Deputy, Assistant, and Temporary Assistant State's Attorneys - Annual Salary and Compensation","First Reading Judicial Proceedings","2/5/2014","Environmental Matters ","3/14/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Judicial Proceedings ","","","","","","","","","","","","","No","","","Courts and Court Personnel - Local","d2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0826","","SB0492","Delegate Haynes","Authorizing the creation of a State Debt not to exceed $350,000, the proceeds to be used as a grant to the Board of Directors of the Kappa Alpha Psi Foundation of Metropolitan Baltimore, Inc. for specified development or improvement purposes related to the Kappa Alpha Psi Youth and Community Center, located in Baltimore City; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; establishing a deadline for the encumbrance or expenditure of the loan proceeds; etc.","Creation of a State Debt - Baltimore City - Kappa Alpha Psi Youth and Community Center","Unfavorable Report by Appropriations","2/5/2014","Appropriations ","3/8/2014"," 3:00 p.m.","","","","4/7/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0827","CH0103","","Delegate Summers","Requiring each candidate in specified municipal elections to submit a copy of a specified campaign finance report to the State Board of Elections within 10 days after the filing deadline.","Municipal Elections - Campaign Finance Reports - Submission of Copies to the State Board of Elections","Approved by the Governor - Chapter 103","2/5/2014","Ways and Means ","2/20/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Favorable with Amendments","3/8/2014","Passed with Amendments","3/9/2014","Passed","3/10/2014","Education, Health, and Environmental Affairs ","3/27/2014"," 1:00 p.m.","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Municipal Corporations","l3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0828","","SB1028","Delegate Stein","Authorizing the creation of a State Debt not to exceed $50,000, the proceeds to be used as a grant to the Board of Directors of the Jewish Community Services, Inc. for specified development or improvement purposes related to the Jewish Community Services alternative living units, located in Baltimore County; providing for disbursement of the loan proceeds, subject to a requirement that the grantee provide and expend a matching fund; prohibiting the use of the loan proceeds or matching fund for sectarian religious purposes; etc.","Creation of a State Debt - Baltimore County - Jewish Community Services Alternative Living Units","Unfavorable Report by Appropriations","2/5/2014","Appropriations ","3/10/2014","10:30 a.m.","","","","4/7/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","State Debt (Bond Bills)","b2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0829","","SB0982","Delegate Pena-Melnyk","Requiring the Board of Trustees of the Maryland Affordable Housing Trust to develop a process for making awards under the Trust that gives preference to multijurisdictional applicants.","Maryland Affordable Housing Trust - Award Criteria - Preference for Multijurisdictional Applicants","Unfavorable Report by Environmental Matters","2/5/2014","Environmental Matters ","2/20/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Economic and Community Development","c8","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0830","","SB0287","Delegate Arora","Establishing a limited kosher wine seller's permit; requiring an applicant for the permit to meet specified qualifications; authorizing a limited kosher wine seller to sell kosher wine to a consumer by receiving and filling orders that the consumer transmits by electronic or other means; specifying the term of a permit; requiring a limited kosher wine seller to file an annual tax return; limiting the amount of kosher wine that a limited kosher wine seller may sell during each year; imposing a specified fee; etc.","Alcoholic Beverages - Shipment of Kosher Wine Sold at Retail","Unfavorable Report by Economic Matters Withdrawn","2/5/2014","Economic Matters ","2/17/2014"," 1:00 p.m.","","","","3/24/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Alcoholic Beverages - Statewide Bills","a1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0831","","SB0846","Delegate Branch","Authorizing the Board of Liquor License Commissioners for Baltimore City to waive specified food and location restrictions; prohibiting, beginning July 1, 2015, specified alcoholic beverages licenses from being issued within or transferred into a specified area; requiring the Board annually to establish performance measures for specified activities; providing that specified employees of the Board are in the classified civil service of the City; making the Act an emergency measure; etc.","Baltimore City - Alcoholic Beverages Act of 2014","Passed Enrolled","2/5/2014","Economic Matters ","2/17/2014"," 1:00 p.m.","","","","3/7/2014 12:00:00 AM","Favorable with Amendments","3/7/2014","Passed with Amendments","3/8/2014","Passed","3/9/2014","Education, Health, and Environmental Affairs ","","","","","","4/2/2014","Favorable with Amendments","3/25/2014","Passed with Amendments","3/27/2014","Passed with Amendments","Concurred","Yes","Yes","","Alcoholic Beverages - Local Bills","a2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0832","","","Delegate McIntosh","Requiring the State Department of Assessments and Taxation to employ and assign to the supervisor of assessments for Baltimore City six assessors in addition to the number of assessors assigned to the supervisor on June 1, 2014; requiring that the work of the assessors consist exclusively of conducting specified inspections of real property; and specifying the intent of the General Assembly that the inspections will result in additional property tax revenue that will defray the cost of employing the additional assessors.","Baltimore City - Property Tax - Assessors","Hearing 2/27 at 1:00 p.m.","2/5/2014","Ways and Means ","2/27/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Taxes - Property - Local","q2","2014 Regular Session","4/9/2014 6:00:56 PM"
